STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE
8,003000000.0001A,1,4,1,6033,0,57,3,0,RIO GRANDE RIVER        ,,STATE STREET      ,0.6 MI NE OF ALAMOSA     ,99.99,,,,,37283600,105514800,6,3,2,2,8,1982,2,0,945,1986,5,7.9,0,16,0,1,1,1,0,5,0,0,0,A,5,5,6,6,0,0,4,0,9.7,28.3,112.2,1.2,0,9.8,11.7,99.99,N,0,N,0,0,5,7,7,7,N,,64.8,,33.3,7,6,N,5,8,5,,,0,1090,24,N  ,N  ,N  ,,,,0,0,0,2000,,,,0,N,2,,,,0,1,1,0,0,4,0,,Y,5,1040,2012,,N,,,Z ,,,,0,,,,,0,,97.7,Y
8,003000102.30010,1,4,1,1,0,57,3,0,SAN LUIS VALLEY CANAL   ,,CNTY RD 1 MI LANE ,8.1 MI SW OF MOSCA       ,99.99,,,,,37351800,105594200,2,3,2,2,9,1971,2,0,60,1986,0,7.6,0,63,0,0,0,0,0,5,0,0,0,P,1,5,3,3,0,0,1,0,8.3,18,19.2,0,0,8.4,8.5,99.99,N,0,N,0,0,6,6,7,6,N,,18,,10.8,4,6,N,1,7,8,31,1,22.3,1090,24,N  ,N  ,N  ,,,,81,8,198,,,,,0,N,2,,,,0,6,8,0,0,4,0,,Y,8,70,2012,,N,,,Z ,,,,0,,,,,0,,62.3,Y
8,003000202.90011,1,4,1,2,0,57,3,0,HOOPER LATERAL          ,,CNTY RD 2 MI LANE ,7.1 MI SW OF MOSCA       ,99.99,,,,,37360600,105590600,3,3,2,2,9,1970,2,0,40,1986,0,7.3,0,9,0,0,0,0,0,5,0,0,0,P,1,5,3,2,0,0,1,0,8.4,7.3,7.9,0,0,8.4,8.4,99.99,N,0,N,0,0,6,7,7,6,N,,23.4,,18,5,6,N,3,7,9,31,1,8.2,1090,24,N  ,N  ,N  ,,,,39,4,90,,,,,0,N,2,,,,0,8,6,0,0,4,0,,Y,8,40,2012,,N,,,Z ,,,,0,,,,,0,,78.2,Y
8,003000403.50012,1,4,1,4,0,57,3,0,HOOPER LATERAL          ,,CNTY RD 4 MI LANE ,5.8 MI SW OF MOSCA       ,99.99,,,,,37374800,105581800,6,3,2,2,9,1950,2,0,35,1986,0,7,0,20,0,0,0,0,0,5,0,0,0,A,1,5,3,19,0,0,3,0,7,1.8,7,0,0,7,9.5,99.99,N,0,N,0,0,N,N,N,6,6,,36,,32.4,6,5,N,5,7,7,38,1,7,1090,24,N  ,N  ,N  ,,,,0,17,17,,,,,0,N,2,,,,0,N,N,N,N,4,0,,Y,8,40,2012,,N,,,Z ,,,,0,,,,,0,,96,Y
8,003000504.40013,1,4,1,5,0,57,3,0,HOOPER LATERAL          ,,CNTY RD 5 MI LANE ,5.0 MI W OF MOSCA        ,99.99,,,,,37383600,105573000,3,3,2,2,8,1950,2,0,175,1986,0,7.6,0,15,0,0,0,0,0,5,0,0,0,A,1,5,3,19,0,0,3,0,7.6,1.8,6.7,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,6,,28.8,,21.6,6,N,N,5,7,7,38,1,6.7,1090,24,N  ,N  ,N  ,,,,0,17,17,,,,,0,N,2,,,,0,N,N,N,N,4,0,,Y,8,190,2012,,N,,,Z ,,,,0,,,,,0,*,85.4,Y
8,003000605.10014,1,4,1,6,0,57,3,0,HOOPER LATERAL          ,,CNTY RD 6 MI LANE ,4.3 MI NW OF MOSCA       ,99.99,,,,,37393000,105564800,3,3,2,2,9,1960,2,0,30,1986,0,7.3,0,10,0,0,0,0,0,5,0,0,0,A,1,5,3,19,0,0,3,0,7.3,1.8,6.7,0,0,0,0,99.99,N,0,N,0,0,N,N,N,6,7,,36,,32.4,7,N,N,5,7,7,38,1,6.7,1090,24,N  ,N  ,N  ,,,,0,17,17,,,,,0,N,2,,,,0,N,N,N,N,4,0,,Y,8,30,2012,,N,,,Z ,,,,0,,,,,0,*,97,Y
8,003001200.90007,1,4,1,12,0,57,3,0,EMPIRE CANAL            ,,COUNTY RD. 12 MILE,9.4 MI SW OF ALAMOSA     ,99.99,,,,,37240000,106011800,6,3,3,3,8,1960,2,0,95,1986,0,7.9,0,39,0,0,0,0,0,5,0,0,0,P,1,5,7,2,0,0,2,0,8.1,6.4,13.7,0,0,8.1,8.6,99.99,N,0,N,0,0,5,3,5,7,N,,22.5,,14.4,3,6,N,4,7,8,31,1,19.2,388,24,N  ,N  ,N  ,,,,60,6,90,,,,,0,N,2,,,,0,8,6,0,0,0,0,,Y,6,0,2012,,N,,,A ,,,,0,,,,,1,,39.9,Y
8,003001503.90006,1,4,1,15,0,57,3,0,EMPIRE LATERAL          ,,COUNTY RD. 15 MILE,9.3 MI SW OF ALAMOSA     ,99.99,,,,,37211800,105581200,3,3,2,2,9,1969,2,0,45,1986,0,6.7,0,61,0,0,0,0,0,5,0,0,0,P,1,5,3,3,0,0,1,0,8.3,17.4,18.6,0,0,8.4,8.5,99.99,N,0,N,0,0,4,6,7,7,N,,20.7,,12.6,4,6,N,2,7,8,35,1,19.2,1090,24,N  ,N  ,N  ,,,,70,7,179,,,,,0,N,2,,,,0,6,8,0,0,4,0,,Y,8,50,2012,,N,,,A ,,,,0,,,,,1,,63.3,Y
8,003010004.80008,1,4,1,100,0,57,3,0,EMPIRE CANAL            ,,COUNTY ROAD 100   ,9.5 MI SW OF ALAMOSA     ,99.99,,,,,37253000,106021800,3,3,2,2,7,1968,2,0,400,1986,0,8.5,0,62,0,0,0,0,0,5,0,0,0,P,1,5,3,3,0,0,1,0,8.1,16.8,18,0,0,8.2,8.3,99.99,N,0,N,0,0,6,6,5,6,N,,18.9,,10.8,4,5,N,2,8,9,31,1,26.8,1090,24,N  ,N  ,N  ,,,,99,10,225,,,,,0,N,2,,,,0,6,6,0,0,4,0,,Y,8,440,2012,,N,,,Z ,,,,0,,,,,0,,48.2,Y
8,003010215.90009,1,4,1,102,0,57,3,0,SAN LUIS VALLEY CANAL   ,,COUNTY ROAD 102   ,8.4 MI SW OF MOSCA       ,99.99,,,,,37350600,106000600,6,3,2,2,9,1955,2,0,35,1986,0,8.2,0,30,0,0,0,0,0,5,0,0,0,A,1,5,3,19,0,0,3,0,6.2,2.7,9.1,0,0,6.3,8.7,99.99,N,0,N,0,0,N,N,N,5,5,,28.8,,21.6,5,5,N,5,6,7,38,1,9.1,1090,24,N  ,N  ,N  ,,,,0,18,18,,,,,0,N,2,,,,0,N,N,N,N,4,0,,Y,8,40,2012,,N,,,Z ,,,,0,,,,,0,,73.4,Y
