"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT05","WT11"
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-05-24",,,,,"0.57","0.5","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-05-25",,,,,"0.08","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-05-26",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-05-27",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-05-28",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-05-29",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-05-30",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-05-31",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-01",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-02",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-03",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-05",,,,,"0.38","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-06",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-07",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-08",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-09",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-10",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-11",,,,,"0.02","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-12",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-13",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-14",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-15",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-16",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-17",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-18",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-19",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-20",,,,,"0.25","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-21",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-22",,,,,"0.23","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-23",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-24",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-25",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-26",,,,,"0.18","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-27",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-28",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-29",,,,,"0.24","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-06-30",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-01",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-02",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-03",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-04",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-05",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-06",,,,,"0.14","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-07",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-08",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-09",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-10",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-11",,,,,"0.30","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-12",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-15",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-16",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-17",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-18",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-19",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-20",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-21",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-22",,,,,"0.17","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-23",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-24",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-25",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-26",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-27",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-28",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-29",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-30",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-07-31",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-01",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-02",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-03",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-04",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-05",,,,,"0.04","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-06",,,,,"0.28","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-07",,,,,"0.04","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-08",,,,,"0.02","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-09",,,,,"0.05","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-12",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-13",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-14",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-15",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-16",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-18",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-19",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-20",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-21",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-22",,,,,"0.08","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-23",,,,,"0.11","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-24",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-25",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-26",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-27",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-28",,,,,"0.22","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-29",,,,,"0.03","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-30",,,,,"0.89","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-08-31",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-01",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-03",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-04",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-05",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-06",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-07",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-08",,,,,"0.04","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-09",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-10",,,,,"0.20","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-11",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-12",,,,,"0.02","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-13",,,,,"0.14","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-14",,,,,"0.55","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-15",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-16",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-18",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-19",,,,,"0.35","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-20",,,,,"0.00","0.0","0.0",,,,,,,,,
"US1COAR0061","CHERRY CREEK DAM 2.7 ESE, CO US","2002-09-21",,,,,"0.00","0.0","0.0",,,,,,,,,
